section,category,metric,type,date,value
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,3028564
State Data,Cumulative counts to date,Cumulative Doses Distributed,All COVID Vaccines,NA,3005775
State Data,Cumulative counts to date,People Fully Immunized,NA,NA,1168890
State Data,Cumulative counts to date,People Immunized with One Dose,NA,NA,1941195
State Data,Cumulative counts to date,Total Vaccine Providers,NA,NA,1253
State Metrics,Vaccinations,Immunized Yesterday,Janssen,NA,845
State Metrics,Vaccinations,Immunized Yesterday,Janssen Change from Yesterday,NA,-5415
State Metrics,Vaccinations,Immunized Yesterday,Moderna,NA,10237
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,NA,-7157
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,NA,9658
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,NA,-8699
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,NA,4
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,NA,2
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Janssen,NA,6068
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,NA,14382
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,NA,12590
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,NA,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-14,192
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-14,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-14,190
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-14,192
Vaccine Administration,Administration,Daily,Janssen,2020-12-14,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-14,190
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-15,425
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-15,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-15,414
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,2
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-15,233
Vaccine Administration,Administration,Daily,Janssen,2020-12-15,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-15,224
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-15,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-16,4234
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-16,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-16,4217
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,2
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-16,3809
Vaccine Administration,Administration,Daily,Janssen,2020-12-16,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-16,3803
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-17,16470
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-17,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-17,16449
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-17,12236
Vaccine Administration,Administration,Daily,Janssen,2020-12-17,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-17,12232
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-17,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-18,28704
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-18,28676
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-18,12234
Vaccine Administration,Administration,Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-18,12227
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-18,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-19,34180
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-19,34147
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-19,5476
Vaccine Administration,Administration,Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-19,5471
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-19,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-20,37067
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-20,14
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-20,37018
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,5
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-20,71229
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2020-12-20,0
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-20,19773
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-20,51412
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,11
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-20,2887
Vaccine Administration,Administration,Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-20,14
Vaccine Administration,Administration,Daily,Pfizer,2020-12-20,2871
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-20,2
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-20,37049
Vaccine Administration,Administration,Weekly,Janssen,2020-12-20,0
Vaccine Administration,Administration,Weekly,Moderna,2020-12-20,19773
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-20,17265
